date,AdjClose,Approx,D1,D2,D3,D4,Target
2020-01-16,3316.81005859375,3295.5437469482436,9.818771362304235,-29.707310697088026,-0.6412506103515059,1.2551102207688136,3329.6201171875
2020-01-17,3329.6201171875,3295.5437469482436,9.818771362304235,-29.707310697088026,-0.6412506103515059,1.2551102207688136,3320.7900390625
2020-01-21,3320.7900390625,3295.5437469482436,-9.818771362304235,5.434113887083642,0.6412506103515059,0.837919809371158,3321.75
2020-01-22,3321.75,3295.5437469482436,-9.818771362304235,5.434113887083642,0.6412506103515059,0.837919809371158,3325.5400390625
2020-01-23,3325.5400390625,3295.5437469482436,-9.818771362304235,5.434113887083642,0.6412506103515059,0.837919809371158,3295.469970703125
2020-01-24,3295.469970703125,3295.5437469482436,-9.818771362304235,5.434113887083642,0.6412506103515059,0.837919809371158,3243.6298828125
2020-01-27,3243.6298828125,3295.5437469482436,-9.818771362304235,5.434113887083642,0.6412506103515059,0.837919809371158,3276.239990234375
2020-01-28,3276.239990234375,3295.5437469482436,-9.818771362304235,5.434113887083642,0.6412506103515059,0.837919809371158,3273.39990234375
2020-01-29,3273.39990234375,3295.5437469482436,-9.818771362304235,5.434113887083642,0.6412506103515059,0.837919809371158,3283.659912109375
2020-01-30,3283.659912109375,3295.5437469482436,-9.818771362304235,5.434113887083642,0.6412506103515059,0.837919809371158,3225.52001953125
2020-01-31,3225.52001953125,3258.263717651369,107.67875671386722,-5.434113887083642,-4.5237579345703125,-0.837919809371158,3248.919921875
2020-02-03,3248.919921875,3258.263717651369,107.67875671386722,-5.434113887083642,-4.5237579345703125,-0.837919809371158,3297.590087890625
2020-02-04,3297.590087890625,3258.263717651369,107.67875671386722,-5.434113887083642,-4.5237579345703125,-0.837919809371158,3334.68994140625
2020-02-05,3334.68994140625,3258.263717651369,107.67875671386722,-5.434113887083642,-4.5237579345703125,-0.837919809371158,3345.780029296875
2020-02-06,3345.780029296875,3258.263717651369,107.67875671386722,-5.434113887083642,-4.5237579345703125,-0.837919809371158,3327.7099609375
2020-02-07,3327.7099609375,3258.263717651369,107.67875671386722,-5.434113887083642,-4.5237579345703125,-0.837919809371158,3352.090087890625
2020-02-10,3352.090087890625,3258.263717651369,107.67875671386722,-5.434113887083642,-4.5237579345703125,-0.837919809371158,3357.75
2020-02-11,3357.75,3258.263717651369,107.67875671386722,-5.434113887083642,-4.5237579345703125,-0.837919809371158,3379.449951171875
2020-02-12,3379.449951171875,3258.263717651369,-107.67875671386722,-4.437986272345372,4.5237579345703125,-1.9622170019553669,3373.93994140625
2020-02-13,3373.93994140625,3258.263717651369,-107.67875671386722,-4.437986272345372,4.5237579345703125,-1.9622170019553669,3380.159912109375
2020-02-14,3380.159912109375,3258.263717651369,-107.67875671386722,-4.437986272345372,4.5237579345703125,-1.9622170019553669,3370.2900390625
2020-02-18,3370.2900390625,3258.263717651369,-107.67875671386722,-4.437986272345372,4.5237579345703125,-1.9622170019553669,3386.14990234375
2020-02-19,3386.14990234375,3258.263717651369,-107.67875671386722,-4.437986272345372,4.5237579345703125,-1.9622170019553669,3373.22998046875
2020-02-20,3373.22998046875,3258.263717651369,-107.67875671386722,-4.437986272345372,4.5237579345703125,-1.9622170019553669,3337.75
