date,AdjClose,Approx,D1,D2,D3,D4,D5,D6,D7,D8,Target
2019-08-05,2844.739990234375,2916.0664527196077,166.82008784720173,-8.831501672215474,3.0423635297219804,6.315717488609128,2.0238240062596278,0.12579364245435729,-0.33504348706341863,0.7615287359224283,2881.77001953125
2019-08-06,2881.77001953125,2916.6075560102845,168.1899719227241,-8.765846441147275,3.0628143899707707,6.394000091006974,2.02510667289138,0.12782317227775358,-0.3376508697646302,0.7674180577107997,2883.97998046875
2019-08-07,2883.97998046875,2917.150060142076,169.53465481795078,-8.706568338253902,3.08344778279477,6.470975480236593,2.026934160462332,0.12987526673946917,-0.34019290254828116,0.7732184175257617,2938.090087890625
2019-08-08,2938.090087890625,2917.693965114981,170.85413653288177,-8.653667363535355,3.1042637081939777,6.546643656297984,2.029306468972483,0.13194992583950407,-0.3426695854143716,0.7789298153673142,2918.64990234375
2019-08-09,2918.64990234375,2918.237494733641,172.1803708837213,-8.599057642472333,3.125030724137066,6.622662099072138,2.031532793151956,0.13401853876292383,-0.3451637787380978,0.784665050497799,2882.699951171875
2019-08-12,2882.699951171875,2918.7757963420895,173.60065731983497,-8.520648155054484,3.1451165192354393,6.703559127806439,2.0317258179053104,0.13600293930968144,-0.3479018612744307,0.7907322962329894,2926.320068359375
2019-08-13,2926.320068359375,2919.3154987916523,174.99574257565297,-8.44861579581146,3.1653848469090216,6.783148943372513,2.0324636635978637,0.1380099044947584,-0.3505745938932029,0.7967105799947702,2840.60009765625
2019-08-14,2840.60009765625,2919.856602082329,176.3656266511753,-8.382960564743263,3.1858357071578123,6.861431545770358,2.033746330229616,0.14003943431815463,-0.3531819765944145,0.8025999017831418,2847.60009765625
2019-08-15,2847.60009765625,2920.397330018761,177.74226336260614,-8.31559658733059,3.206237657950484,6.9400644148809665,2.0348830125306905,0.14206291796493575,-0.3558068697532621,0.8085130608604454,2888.679931640625
2019-08-16,2888.679931640625,2920.939458796307,179.09369889374136,-8.254609738092743,3.2268221413183635,7.017390070823348,2.0365645157709644,0.14410896625003616,-0.35836641299454886,0.8143372579643395,2923.64990234375
2019-08-19,2923.64990234375,2921.481212219607,180.4518870607851,-8.19191414251042,3.247357715230124,7.095065993478492,2.0381000346805602,0.14614896835852145,-0.36094346669347155,0.8201852923571658,2900.510009765625
2019-08-20,2900.510009765625,2922.0225902886627,181.8168278637374,-8.127509800583628,3.267844379685765,7.173092182846395,2.039489569259478,0.14818292429039154,-0.36353803085002995,0.8260571640389243,2924.429931640625
2019-08-21,2924.429931640625,2922.564068933585,183.1799593033512,-8.063563315859904,3.2883441493906753,7.251024518531481,2.0409182202219087,0.15021850029040298,-0.3661279030936058,0.8319226485383635,2922.949951171875
2019-08-22,2922.949951171875,2923.3773035336762,162.8149713793617,-7.6046835561407296,2.660276013174673,6.4085876756756175,1.8772096655414217,0.14267422919571715,-0.28994847391588274,0.7247873192906222,2847.110107421875
2019-08-23,2847.110107421875,2924.1177213450414,148.27201549189675,-7.251625848520765,2.205991123586924,5.812763010948299,1.7577494917532865,0.1376968703936691,-0.23487521544236037,0.6479304668304976,2878.3798828125
2019-08-26,2878.3798828125,2924.785322367681,139.55109164095634,-7.004390193000008,1.9254894806274274,5.463550524349522,1.6825376988575036,0.13528642388425882,-0.20090812767303873,0.6013520911579898,2869.159912109375
2019-08-27,2869.159912109375,2925.4724345900554,129.27015900752107,-6.7287996040778655,1.598422757075832,5.048258503777522,1.5954695880352303,0.1321881752989947,-0.1612856585082131,0.5466606220821957,2887.93994140625
2019-08-28,2887.93994140625,2926.0867300237037,124.81125841061035,-6.559031067254932,1.4451392801524894,4.879578661334062,1.5526498581053085,0.1316568390063684,-0.14276936004758822,0.5222476297940181,2924.580078125
2019-08-29,2924.580078125,2926.7205366570865,118.79234903120475,-6.360907597030613,1.2452907226370482,4.64481928491738,1.4979738102488964,0.1304377006378883,-0.1185976801914593,0.48972154410255414,2926.4599609375
2019-08-30,2926.4599609375,2927.373854490204,111.21343086930425,-6.134429193404904,0.9988770845295076,4.343980374527477,1.431441444465994,0.1285307601935543,-0.08877061893982638,0.44908236500780385,2906.27001953125
2019-09-03,2906.27001953125,2928.021944313109,104.05251580085871,-5.915548471285535,0.7649405221621105,4.060847421901924,1.3680859694967016,0.12680811575999784,-0.06045891256600877,0.4106170827385825,2937.780029296875
2019-09-04,2937.780029296875,2928.5972173472874,102.71363276893774,-5.802489801265377,0.7047872064229656,4.02432664740491,1.3489788754197611,0.1276523836190791,-0.053253376896391896,0.40243027725697794,2976.0
2019-09-05,2976.0,2929.192001581201,99.81474095452191,-5.6610761978438315,0.5980688100917217,3.9217263389346755,1.3180154634163304,0.12780884940230658,-0.04039245983127101,0.38613037837208697,2978.7099609375
2019-09-06,2978.7099609375,2929.806297014849,95.35584035761117,-5.491307661020898,0.44478533316837926,3.753046496491218,1.2751957334864088,0.12727751310968025,-0.021876161370646102,0.3617173860839095,2978.429931640625
2019-09-09,2978.429931640625,2930.415364438285,91.31494285415542,-5.329136805704307,0.3039789319851798,3.6020726118121105,1.2355528943700973,0.1269304728278314,-0.004875217787836502,0.339478290621261,2979.389892578125
2019-09-10,2979.389892578125,2931.0439430614556,85.71403656820475,-5.138611016986324,0.11660745020988138,3.3850191931597795,1.1840537373272948,0.12589563047012875,0.01778110719047711,0.30912610175532595,3000.929931640625
2019-09-11,3000.929931640625,2931.6672936744144,80.53113337570906,-4.9556829097746835,-0.058286955825273955,3.1856717322717985,1.1357314710981026,0.1250450841232036,0.03892207729097543,0.2809478097149199,3009.570068359375
2019-09-12,3009.570068359375,2932.28541627716,75.76623327666833,-4.780352484069383,-0.22070428612028622,3.004030229148168,1.09058609568252,0.12437883378705586,0.058547692513658454,0.25494341450004265,3007.389892578125
2019-09-13,3007.389892578125,2932.9049397210206,70.88932958630264,-4.60298626574011,-0.3864648387837718,2.8176444289403606,1.044589474938989,0.12366320148365209,0.07857934585209865,0.22835652538633638,2997.9599609375
2019-09-16,2997.9599609375,2933.4516463761547,71.83445793246146,-4.531442099510047,-0.3784421448190048,2.877870806861094,1.0428412350878098,0.125514481472886,0.07750482848633809,0.23204811306024678,3005.699951171875
2019-09-17,3005.699951171875,2934.017864231024,71.21957749612541,-4.431542999878595,-0.41698453144633674,2.8720176508086053,1.0292366773101402,0.12667795938626614,0.08208569251608155,0.22762660733087084,3006.72998046875
2019-09-18,3006.72998046875,2934.6035932856275,69.0446882772945,-4.303288966845757,-0.5020919986657675,2.8000849607828933,1.0037758016059801,0.12715363522379247,0.09232193794132904,0.21509200819820845,3006.7900390625
2019-09-19,3006.7900390625,2935.1840943300194,67.28780215191856,-4.182632615319259,-0.5747223901450553,2.7458582285215316,0.9814918167154298,0.12781360707209627,0.10104282848876121,0.20473130589107497,2992.070068359375
2019-09-20,2992.070068359375,2935.784106574144,63.97090724404772,-4.033621330391372,-0.6939178622164419,2.6255519622869468,0.9473515138983892,0.12778577684454628,0.11541910043169742,0.18625751018065506,2991.780029296875
2019-09-23,2991.780029296875,2936.3788908080573,61.07201542963186,-3.8922077269698256,-0.8006362585476855,2.522951653816712,0.9163881018949582,0.1279422426277738,0.12828001749681833,0.16995761129576403,2966.60009765625
2019-09-24,2966.60009765625,2936.9684470317593,58.591126708670956,-3.75839180505462,-0.8948775791387861,2.4380573031108272,0.888601580705137,0.12828300442177873,0.13962557968412392,0.15583160923640188,2984.8701171875
2019-09-25,2984.8701171875,2937.5594040965752,55.99823439638509,-3.6225400905154412,-0.9924621220983599,2.3484186553207653,0.8599638141873671,0.1285743842485276,0.15137717998718675,0.1411231132782107,2977.6201171875
2019-09-26,2977.6201171875,2938.1698723611257,51.84533330160435,-3.4583334425748755,-1.1366117456500326,2.1927004735574798,0.8194697297431068,0.1281779619994226,0.16878416168575347,0.11830152391673304,2961.7900390625
2019-09-27,2961.7900390625,2938.7751126154644,48.11043530027857,-3.3017244761406492,-1.2682842934615621,2.054688249558545,0.7821525361124564,0.12796583576109513,0.18467578850650496,0.09765383138078428,2976.739990234375
2019-09-30,2976.739990234375,2939.37512485959,44.79354039240775,-3.1527131912127633,-1.3874797655329487,1.9343819833239602,0.7480122332954154,0.1279380055335451,0.1990520604494411,0.07918003567036438,2940.25
2019-10-01,2940.25,2939.97653794483,41.36464189321197,-3.0016661136609057,-1.5100184599728086,1.8093314200051978,0.7130206851504259,0.12786079333873895,0.21383437050813447,0.060123746061115445,2887.610107421875
2019-10-02,2887.610107421875,2940.572723019858,38.35374648747113,-2.8582167176153863,-1.6200800786725258,1.7019868144507861,0.6812060278190466,0.12796787715471036,0.22710132568901253,0.04324135327739535,2910.6298828125
2019-10-03,2910.6298828125,2941.1703089360008,35.23084749040533,-2.712731528945895,-1.733484919740716,1.589897911812197,0.6485401251597185,0.12802557900342565,0.24077431898564777,0.02577646659484624,2952.010009765625
2019-10-04,2952.010009765625,2941.7692956932574,31.995944902014568,-2.565210547652431,-1.8502329831773796,1.4730647120894305,0.6150229771724418,0.1280338988848848,0.2548533503980402,0.007729086013468082,2938.7900390625
2019-10-07,2938.7900390625,2942.367907096269,28.791053585468713,-2.418235055348518,-1.9660852328802931,1.3575027429390227,0.5817339196833495,0.12805545062459095,0.26882358422521924,-0.010162215798122771,2893.06005859375
2019-10-08,2893.06005859375,2942.8937017105545,31.40819430544738,-2.3770816151438137,-1.9081542359549537,1.488552951917158,0.5926932430866094,0.13064391465693476,0.26168764734819744,0.0022249591779031188,2919.39990234375
2019-10-09,2919.39990234375,2943.439007524574,32.46532624293118,-2.307573241537723,-1.8967883196217135,1.5535236269220702,0.591796248563379,0.1325445766134248,0.2602070918666798,0.006499040750642609,2938.1298828125
2019-10-10,2938.1298828125,2944.003824538329,31.962449397920096,-2.2097099345302436,-1.9319874838805722,1.5524147679537588,0.5790429361136578,0.13375743649406108,0.26438191778066605,0.0026600289200956976,2970.27001953125
2019-10-11,2970.27001953125,2944.5634135418713,31.877575646363987,-2.119444309029105,-1.9547095723992882,1.5690118667497974,0.5694665144775466,0.1351545923854748,0.2670413888168371,0.0009949139150776465,2966.14990234375
2019-10-14,2966.14990234375,2945.142513745148,30.232693112313,-2.0008237501265786,-2.023996741510102,1.519529431572613,0.5480337749149449,0.1358639462010347,0.2753562412485121,-0.008783294493226805,2995.679931640625
2019-10-15,2995.679931640625,2945.716385938212,29.005813671716975,-1.8898008727303928,-2.0808068348807733,1.4877529541597787,0.5297779261659529,0.1367575960273721,0.28215573880237177,-0.016387606076002398,2989.68994140625
2019-10-16,2989.68994140625,2946.2850301210647,28.196937324575913,-1.7863756768405468,-2.125139852511302,1.4736824345112944,0.5146989682305707,0.137835541864487,0.28743988147841615,-0.02181802083324913,2997.949951171875
2019-10-17,2997.949951171875,2946.855075145031,27.276057386109883,-1.6809146883267283,-2.1728160925103035,1.4548676177786333,0.49876876496723993,0.1388641057343458,0.29313006227021776,-0.027830929489324897,2986.199951171875
2019-10-18,2986.199951171875,2947.444631368732,24.795168665148978,-1.5470987664115223,-2.267057413101404,1.3699732670727482,0.4709822437774187,0.1392048675283507,0.3044756244575234,-0.04195693154868708,3006.719970703125
2019-10-21,3006.719970703125,2948.028959582222,22.73228303764303,-1.4208805260026562,-2.3488216579523615,1.3027848741312136,0.44637261340120726,0.13972992533313314,0.31430583176701377,-0.05390903678252039,2995.989990234375
2019-10-22,2995.989990234375,2948.6080597854993,21.087400503592047,-1.3022599671001303,-2.418108827063176,1.253302438954029,0.42493987383860554,0.14043927914869303,0.3226206841986887,-0.06368724519082483,3004.52001953125
2019-10-23,3004.52001953125,2949.1885608298917,19.330514378216098,-1.1816036155736316,-2.4907392185424637,1.1990757066926676,0.4026558889480553,0.14109925099699683,0.33134157474612097,-0.07404794749795833,3010.2900390625
2019-10-24,3010.2900390625,2949.76383386407,17.991631346295105,-1.068544945553473,-2.5508925342816084,1.1625549321956559,0.3835487948711147,0.1419435188560781,0.3385471104157378,-0.08223475297956297,3022.550048828125
2019-10-25,3022.550048828125,2950.3405077393636,16.540744723049148,-0.9534504829093416,-2.6143890723892267,1.1212898606144672,0.3635904554662256,0.14273840474790328,0.34615868420111184,-0.09100405235999665,3039.419921875
2019-10-28,3039.419921875,2950.9185824557712,14.97785450847822,-0.8363202276412376,-2.681228832865318,1.0752804919491012,0.34278087073338787,0.14348390867247238,0.3541762961022431,-0.10035584563925935,3036.889892578125
2019-10-29,3036.889892578125,2951.496281817934,13.444975565752205,-0.7197354613626844,-2.7471727796076593,1.030542353856094,0.32219937649873476,0.1442426444552884,0.362085110418161,-0.10955156014873477,3046.77001953125
2019-10-30,3046.77001953125,2952.0934923798304,10.352087840531318,-0.5747957616827435,-2.859681806942099,0.9197246817898636,0.2897615643375912,0.1443135781622506,0.3756493061295828,-0.12686036806149656,3037.56005859375
2019-10-31,3037.56005859375,2952.6854749315153,7.677203208765393,-0.4374537435091428,-2.959713758536396,0.8266129674879832,0.2605006429900574,0.1445688078799903,0.3876981469631894,-0.1419952791487295,3066.909912109375
2019-11-01,3066.909912109375,2953.272229472988,5.420321670454427,-0.3077094068418822,-3.04726863439055,0.7512072109504528,0.23441661245613332,0.14500833360850746,0.39823163291898056,-0.15495629341043365,3078.27001953125
2019-11-04,3078.27001953125,2953.860384855575,3.051436540818493,-0.17592927755064885,-3.1381667326131772,0.6710571573287454,0.20748133659426068,0.14539847736976852,0.4091711569905289,-0.1684998015709668,3074.6201171875
2019-11-05,3074.6201171875,2954.4433122279497,1.100554504637517,-0.051746829765755495,-3.2165877550956616,0.608613061471388,0.18372295154599783,0.14597291714180705,0.4185953261842621,-0.17986941290597105,3076.780029296875
2019-11-06,3076.780029296875,2955.027640441439,-0.9623311228684259,0.0744714106431105,-3.2983519999466195,0.5414246685298535,0.15911332116978635,0.1464979749465895,0.42842553349375245,-0.1918215181398044,3085.179931640625
2019-11-07,3085.179931640625,2955.6133694960427,-3.137220341699336,0.20272544367594922,-3.38345946716605,0.4694919785041417,0.1336524454656263,0.14697365078411584,0.43866177891899993,-0.20435611727246672,3093.080078125
