Date,A0,D1,D2
2013-08-08,1383.7089298818294,-152.0663022377264,22.569321825225913
2013-08-09,1383.7089298818294,-152.0663022377264,1.9450671140127724
2013-08-12,1383.7089298818294,-152.0663022377264,1.2990357282594402
2013-08-13,1383.7089298818294,-152.0663022377264,-11.040590973973693
2013-08-14,1383.7089298818294,-152.0663022377264,11.40878991572393
2013-08-15,1383.7089298818294,-152.0663022377264,-0.24896696510394634
2013-08-16,1383.7089298818294,-152.0663022377264,5.500369692500627
2013-08-19,1383.7089298818294,-152.0663022377264,1.9687699050022331
2013-08-20,1383.7089298818294,-152.0663022377264,2.8662479788718684
2013-08-21,1383.7089298818294,-152.0663022377264,-9.733757488358634
2013-08-22,1383.7089298818294,-152.0663022377264,-8.136202476342405
2013-08-23,1383.7089298818294,-152.0663022377264,8.875760011620613
2013-08-26,1383.7089298818294,-152.0663022377264,-13.185973461480529
2013-08-27,1383.7089298818294,-152.0663022377264,3.5794457136203164
2013-08-28,1383.7089298818294,-152.0663022377264,-6.9935069159577665
2013-08-29,1383.7089298818294,-152.0663022377264,-3.2512290240013186
2013-08-30,1383.7089298818294,-152.0663022377264,3.8438090005004284
2013-09-03,1383.7089298818294,-152.0663022377264,-2.214972703562566
2013-09-04,1383.7089298818294,-152.0663022377264,1.9791367820053125
2013-09-05,1383.7089298818294,-152.0663022377264,3.3665515151337218
2013-09-06,1383.7089298818294,-152.0663022377264,-8.123499700637737
2013-09-09,1383.7089298818294,-152.0663022377264,-2.911020595670834
2013-09-10,1383.7089298818294,-152.0663022377264,-7.248107019563264
2013-09-11,1383.7089298818294,-152.0663022377264,4.707184597614585
2013-09-12,1383.7089298818294,-152.0663022377264,2.8219031471943907
2013-09-13,1383.7089298818294,-152.0663022377264,-5.036406433151427
2013-09-16,1383.7089298818294,-152.0663022377264,4.428051789718708
2013-09-17,1383.7089298818294,-152.0663022377264,-8.793754012084293
2013-09-18,1383.7089298818294,-152.0663022377264,5.124475776183161
2013-09-19,1383.7089298818294,-152.0663022377264,-14.05486322513147
2013-09-20,1383.7089298818294,-152.0663022377264,3.9473222763615468
2013-09-23,1383.7089298818294,-152.0663022377264,-6.122486427512314
2013-09-24,1383.7089298818294,-152.0663022377264,-5.713468352120174
2013-09-25,1383.7089298818294,-152.0663022377264,-7.711270459999255
2013-09-26,1383.7089298818294,-152.0663022377264,-1.204643449114542
2013-09-27,1383.7089298818294,-152.0663022377264,-2.9780530434677814
2013-09-30,1383.7089298818294,-152.0663022377264,-10.408002168262868
2013-10-01,1383.7089298818294,-152.0663022377264,6.350794162929304
2013-10-02,1383.7089298818294,-152.0663022377264,-10.064257082624096
2013-10-03,1383.7089298818294,-152.0663022377264,4.90533484533492
2013-10-04,1383.7089298818294,-152.0663022377264,3.2862975105726093
2013-10-07,1383.7089298818294,-152.0663022377264,9.510816521929428
2013-10-08,1383.7089298818294,-152.0663022377264,1.1710709517096234
2013-10-09,1383.7089298818294,-152.0663022377264,-10.662722769722237
2013-10-10,1383.7089298818294,-152.0663022377264,4.9432978026563745
2013-10-11,1383.7089298818294,-152.0663022377264,-2.9317570117411265
2013-10-14,1383.7089298818294,-152.0663022377264,-4.5166598765027
2013-10-15,1383.7089298818294,-152.0663022377264,-6.574558029147937
2013-10-16,1383.7089298818294,-152.0663022377264,1.0227542588959864
2013-10-17,1383.7089298818294,-152.0663022377264,-3.2039779487400466
2013-10-18,1383.7089298818294,-152.0663022377264,-4.10099837783784
2013-10-21,1383.7089298818294,-152.0663022377264,-3.4853469332915665
2013-10-22,1383.7089298818294,-152.0663022377264,3.0865825642103744
2013-10-23,1383.7089298818294,-152.0663022377264,5.715838804898709
2013-10-24,1383.7089298818294,-152.0663022377264,-2.549983686008119
2013-10-25,1383.7089298818294,-152.0663022377264,-2.5099254793256023
2013-10-28,1383.7089298818294,-152.0663022377264,-4.141013175436711
2013-10-29,1383.7089298818294,-152.0663022377264,2.501348097313439
2013-10-30,1383.7089298818294,-152.0663022377264,-7.056745763308015
2013-10-31,1383.7089298818294,-152.0663022377264,4.24813485266904
2013-11-01,1383.7089298818294,-152.0663022377264,-0.7080816530173877
2013-11-04,1383.7089298818294,-152.0663022377264,-8.07234576170444
2013-11-05,1383.7089298818294,-152.0663022377264,-5.879787862604644
2013-11-06,1383.7089298818294,-152.0663022377264,7.111999499528565
2013-11-07,1383.7089298818294,-152.0663022377264,9.941361623476581
2013-11-08,1383.7089298818294,-152.0663022377264,-1.6024631887206056
2013-11-11,1383.7089298818294,-152.0663022377264,7.733533254126684
2013-11-12,1383.7089298818294,-152.0663022377264,5.5179273861270985
2013-11-13,1383.7089298818294,-152.0663022377264,1.4857195585295244
2013-11-14,1383.7089298818294,-152.0663022377264,4.9565560826587785
2013-11-15,1383.7089298818294,-152.0663022377264,1.3657531433560166
2013-11-18,1383.7089298818294,-152.0663022377264,0.4960414102367281
2013-11-19,1383.7089298818294,-152.0663022377264,-2.025769490067887
2013-11-20,1383.7089298818294,-152.0663022377264,-5.961094738941057
2013-11-21,1383.7089298818294,-152.0663022377264,8.738987460845664
2013-11-22,1383.7089298818294,-152.0663022377264,1.5249689241777276
2013-11-25,1383.7089298818294,-152.0663022377264,-7.407265942209108
2013-11-26,1383.7089298818294,-152.0663022377264,3.0583168645640626
2013-11-27,1383.7089298818294,-152.0663022377264,-2.8319617472897676
2013-11-29,1383.7089298818294,-152.0663022377264,-0.2691709577527206
2013-12-02,1383.7089298818294,-152.0663022377264,4.357410522279508
2013-12-03,1383.7089298818294,-152.0663022377264,-2.522201675139428
2013-12-04,1383.7089298818294,-152.0663022377264,4.216594893311964
2013-12-05,1383.7089298818294,-152.0663022377264,0.3803070720027222
2013-12-06,1383.7089298818294,-152.0663022377264,-8.22502989800762
2013-12-09,1383.7089298818294,-152.0663022377264,-2.822142662315656
2013-12-10,1383.7089298818294,-152.0663022377264,5.276418049184542
2013-12-11,1383.7089298818294,-152.0663022377264,1.967160565444658
2013-12-12,1383.7089298818294,-152.0663022377264,5.872389768254067
2013-12-13,1383.7089298818294,-152.0663022377264,-3.53113463631189
2013-12-16,1383.7089298818294,-152.0663022377264,-6.027580563602129
2013-12-17,1383.7089298818294,-152.0663022377264,-1.6692541510809065
2013-12-18,1383.7089298818294,-152.0663022377264,2.7378374873161135
2013-12-19,1383.7089298818294,-152.0663022377264,-5.201680745835688
2013-12-20,1383.7089298818294,-152.0663022377264,-4.738866832858065
2013-12-23,1383.7089298818294,-152.0663022377264,-0.6073807159395983
2013-12-24,1383.7089298818294,-152.0663022377264,2.59908995029582
2013-12-26,1383.7089298818294,-152.0663022377264,-6.165612668311525
2013-12-27,1383.7089298818294,-152.0663022377264,0.7140820238603283
2013-12-30,1383.7089298818294,-152.0663022377264,-7.5570943134543995
2013-12-31,1383.7089298818294,-152.0663022377264,1.0061249864213266
2014-01-02,1383.7089298818294,-152.0663022377264,7.179247688389665
2014-01-03,1383.7089298818294,-152.0663022377264,3.4993244261295047
2014-01-06,1383.7089298818294,-152.0663022377264,1.7713638951533994
2014-01-07,1383.7089298818294,-152.0663022377264,3.4605229703580562
