Date,A0,D1,D2,D3
2018-03-01,1999.437839698482,-385.31305433731643,-11.894775888162599,4.969761180389213
2018-03-02,1999.437839698482,-385.31305433731643,-7.272362246257956,-9.566019899543136
2018-03-05,1999.437839698482,-385.31305433731643,-5.210451633942398,2.4045844542202133
2018-03-06,1999.437839698482,-385.31305433731643,-15.504045799583935,2.244441823881715
2018-03-07,1999.437839698482,-385.31305433731643,11.980432918119789,-2.1987809460424614
2018-03-08,1999.437839698482,-385.31305433731643,12.587201986472905,6.563341809234345
2018-03-09,1999.437839698482,-385.31305433731643,7.907262148652308,-16.01984309734081
2018-03-12,1999.437839698482,-385.31305433731643,18.175843399564087,1.8371197964532087
2018-03-13,1999.437839698482,-385.31305433731643,23.453438175527083,2.3133978597020075
2018-03-14,1999.437839698482,-385.31305433731643,17.62500485402944,14.016427698854159
2018-03-15,1999.437839698482,-385.31305433731643,-36.63446707283998,12.065976672173207
2018-03-16,1999.437839698482,-385.31305433731643,18.479309818065303,-7.664382671308687
2018-03-19,1999.437839698482,-385.31305433731643,22.174473522975347,11.490681326457121
2018-03-20,1999.437839698482,-385.31305433731643,-47.335803371966676,11.83427108987587
2018-03-21,1999.437839698482,-385.31305433731643,12.527112412719077,7.718249096211707
2018-03-22,1999.437839698482,-385.31305433731643,-11.767942759036316,-2.8119017325014966
2018-03-23,1999.437839698482,-385.31305433731643,-11.632251127599432,-3.9110852751478546
2018-03-26,1999.437839698482,-385.31305433731643,11.958823052970956,15.474336007374774
2018-03-27,1999.437839698482,-385.31305433731643,28.373970933803605,9.743859285129787
2018-03-28,1999.437839698482,-385.31305433731643,13.828712499439916,-6.2675755600467085
2018-03-29,1999.437839698482,-385.31305433731643,-20.47297672637987,-15.454396868540044
2018-04-02,1999.437839698482,-385.31305433731643,-6.520679447970537,1.3604188745192403
2018-04-03,1999.437839698482,-385.31305433731643,0.45256426961748275,5.054544438121155
2018-04-04,1999.437839698482,-385.31305433731643,8.073912615847092,2.8534661682877527
2018-04-05,1999.437839698482,-385.31305433731643,8.11285059221089,1.8017062281084009
2018-04-06,1999.437839698482,-385.31305433731643,14.909644511159257,8.436021064842606
2018-04-09,1999.437839698482,-385.31305433731643,5.80394173197476,-1.2599819948981974
2018-04-10,1999.437839698482,-385.31305433731643,-2.4540999442227758,9.186690652330185
2018-04-11,1999.437839698482,-385.31305433731643,-11.939344452652591,-0.18750376496137733
2018-04-12,1999.437839698482,-385.31305433731643,26.634581562800264,-12.41656480245993
2018-04-13,1999.437839698482,-385.31305433731643,-30.848669393249025,12.362074008797151
2018-04-16,1999.437839698482,-385.31305433731643,2.0698358489135273,-0.2691281461894732
2018-04-17,1999.437839698482,-385.31305433731643,-6.436500449271449,-16.718491487632917
2018-04-18,1999.437839698482,-385.31305433731643,-13.666990246790533,1.070168176811535
2018-04-19,1999.437839698482,-385.31305433731643,-5.334702086703459,0.9488286710592604
2018-04-20,1999.437839698482,-385.31305433731643,-40.79815274289422,2.0104769962034936
2018-04-23,1999.437839698482,-385.31305433731643,12.493784743440301,-1.064106335017101
2018-04-24,1999.437839698482,-385.31305433731643,-34.080093263945145,2.4556444985252597
2018-04-25,1999.437839698482,-385.31305433731643,-16.284472323001467,2.7277986179036304
2018-04-26,1999.437839698482,-385.31305433731643,-21.550863647868567,4.9818752650149065
2018-04-27,1999.437839698482,-385.31305433731643,41.234754614350976,2.0563834396261598
2018-04-30,1999.437839698482,-385.31305433731643,-8.382727670903677,-1.0670112389734356
2018-05-01,1999.437839698482,-385.31305433731643,11.98960962990833,-7.167661426090575
2018-05-02,1999.437839698482,-385.31305433731643,4.880102514510384,1.0634160808394029
2018-05-03,1999.437839698482,-385.31305433731643,-25.463062948471503,7.144607469645905
