Date,A0,D1,D2
2000-03-10,2875.321752672003,-152.0663022375419,-152.0330788708203
2000-03-13,2880.127940084275,-152.0663022375419,-152.0330788708203
2000-03-14,2854.3195275534704,-152.0663022375419,-152.0330788708203
2000-03-15,2731.5226391406572,-152.0663022375419,-152.0330788708203
2000-03-16,2718.3783001077727,-152.0663022375419,-152.0330788708203
2000-03-17,2779.5224582709143,-152.0663022375419,-152.0330788708203
2000-03-20,2772.0981982041776,-152.0663022375419,-152.0330788708203
2000-03-21,2859.0296764325217,-152.0663022375419,-152.0330788708203
2000-03-22,2813.173078726527,-152.0663022375419,-152.0330788708203
2000-03-23,2755.608271392385,-152.0663022375419,-152.0330788708203
2000-03-24,2699.638141073298,-152.0663022375419,-152.0330788708203
2000-03-27,2678.788146974966,-152.0663022375419,-152.0330788708203
2000-03-28,2654.988004434558,-152.0663022375419,-152.0330788708203
2000-03-29,2728.5254527781726,-152.0663022375419,-152.0330788708203
2000-03-30,2715.273060062599,-152.0663022375419,-152.0330788708203
2000-03-31,2580.647528129939,-152.0663022375419,-152.0330788708203
2000-04-03,2627.1607155359757,-152.0663022375419,-152.0330788708203
2000-04-04,2647.6480019611345,-152.0663022375419,-152.0330788708203
2000-04-05,2607.6122991672873,-152.0663022375419,-152.0330788708203
2000-04-06,2645.8483088216967,-152.0663022375419,-152.0330788708203
2000-04-07,2689.4691547492002,-152.0663022375419,-152.0330788708203
2000-04-10,2717.945789751463,-152.0663022375419,-152.0330788708203
2000-04-11,2737.374121403372,-152.0663022375419,-152.0330788708203
2000-04-12,2694.1311965499017,-152.0663022375419,-152.0330788708203
2000-04-13,2651.254430846179,-152.0663022375419,-152.0330788708203
2000-04-14,2590.1774166282075,-152.0663022375419,-152.0330788708203
2000-04-17,2515.6382013785037,-152.0663022375419,-152.0330788708203
2000-04-18,2478.116739929273,-152.0663022375419,-152.0330788708203
2000-04-19,2517.2028614885926,-152.0663022375419,-152.0330788708203
2000-04-20,2374.7387273527484,-152.0663022375419,-152.0330788708203
2000-04-24,2299.735323317961,-152.0663022375419,-152.0330788708203
2000-04-25,2284.6811597167502,-152.0663022375419,-152.0330788708203
2000-04-26,2310.487119500443,-152.0663022375419,-152.0330788708203
2000-04-27,2248.1718064062966,-152.0663022375419,-152.0330788708203
2000-04-28,2307.692262631404,-152.0663022375419,-152.0330788708203
